NetworkInstance_TestNetworkInstance/UpdateDescription,UPDATE,PASSED,/network-instances/network-instance[name=vrf_test4]/config/description,2022-05-10 15:38:48
NetworkInstance_TestNetworkInstance/UpdateDescription,UPDATE,PASSED,/network-instances/network-instance[name=vrf_test3]/config/description,2022-05-10 15:38:48
NetworkInstance_TestNetworkInstance/UpdateDescription,UPDATE,PASSED,/network-instances/network-instance[name=vrf_test2]/config/description,2022-05-10 15:38:48
NetworkInstance_TestNetworkInstance/UpdateDescription,UPDATE,PASSED,/network-instances/network-instance[name=vrf_test1]/config/description,2022-05-10 15:38:48
NetworkInstance_TestNetworkInstance/ReplaceDescription,REPLACE,PASSED,/network-instances/network-instance[name=vrf_test4]/config/description,2022-05-10 15:38:48
NetworkInstance_TestNetworkInstance/ReplaceDescription,REPLACE,PASSED,/network-instances/network-instance[name=vrf_test3]/config/description,2022-05-10 15:38:48
NetworkInstance_TestNetworkInstance/ReplaceDescription,REPLACE,PASSED,/network-instances/network-instance[name=vrf_test2]/config/description,2022-05-10 15:38:48
NetworkInstance_TestNetworkInstance/ReplaceDescription,REPLACE,PASSED,/network-instances/network-instance[name=vrf_test1]/config/description,2022-05-10 15:38:48
NetworkInstance_TestNetworkInstance/DeleteDescription,DELETE,PASSED,/network-instances/network-instance[name=vrf_test4]/config/description,2022-05-10 15:38:49
NetworkInstance_TestNetworkInstance/DeleteDescription,DELETE,PASSED,/network-instances/network-instance[name=vrf_test3]/config/description,2022-05-10 15:38:49
NetworkInstance_TestNetworkInstance/DeleteDescription,DELETE,PASSED,/network-instances/network-instance[name=vrf_test2]/config/description,2022-05-10 15:38:49
NetworkInstance_TestNetworkInstance/DeleteDescription,DELETE,PASSED,/network-instances/network-instance[name=vrf_test1]/config/description,2022-05-10 15:38:49
NetworkInstance_TestNetworkInstance/UpdateDescription#01,UPDATE,PASSED,/network-instances/network-instance[name=vrf_test4]/config/description,2022-05-10 15:38:50
NetworkInstance_TestNetworkInstance/UpdateDescription#01,UPDATE,PASSED,/network-instances/network-instance[name=vrf_test3]/config/description,2022-05-10 15:38:50
NetworkInstance_TestNetworkInstance/UpdateDescription#01,UPDATE,PASSED,/network-instances/network-instance[name=vrf_test2]/config/description,2022-05-10 15:38:50
NetworkInstance_TestNetworkInstance/UpdateDescription#01,UPDATE,PASSED,/network-instances/network-instance[name=vrf_test1]/config/description,2022-05-10 15:38:50
NetworkInstance_TestNetworkInstance/UpdateDescription#02,DELETE,PASSED,/network-instances/network-instance[name=vrf_test4],2022-05-10 15:38:51
NetworkInstance_TestNetworkInstance/UpdateDescription#02,DELETE,PASSED,/network-instances/network-instance[name=vrf_test3],2022-05-10 15:38:51
NetworkInstance_TestNetworkInstance/UpdateDescription#02,DELETE,PASSED,/network-instances/network-instance[name=vrf_test2],2022-05-10 15:38:51
NetworkInstance_TestNetworkInstance/UpdateDescription#02,DELETE,PASSED,/network-instances/network-instance[name=vrf_test1],2022-05-10 15:38:51
NetworkInstance_TestNetworkInstance,UPDATE,PASSED,/network-instances/network-instance[name=vrf_test4],2022-05-10 15:38:51
NetworkInstance_TestNetworkInstance/UpdateDescription#03,DELETE,PASSED,/network-instances/network-instance[name=vrf_test4],2022-05-10 15:38:51
NetworkInstance_TestNetworkInstance/UpdateDescription#03,DELETE,PASSED,/network-instances/network-instance[name=vrf_test3],2022-05-10 15:38:51
NetworkInstance_TestNetworkInstance/UpdateDescription#03,DELETE,PASSED,/network-instances/network-instance[name=vrf_test2],2022-05-10 15:38:51
NetworkInstance_TestNetworkInstance/UpdateDescription#03,DELETE,PASSED,/network-instances/network-instance[name=vrf_test1],2022-05-10 15:38:51
NetworkInstance_TestNetworkInstance,UPDATE,PASSED,/network-instances/network-instance[name=vrf_test3],2022-05-10 15:38:51
NetworkInstance_TestNetworkInstance/UpdateDescription#04,DELETE,PASSED,/network-instances/network-instance[name=vrf_test4],2022-05-10 15:38:52
NetworkInstance_TestNetworkInstance/UpdateDescription#04,DELETE,PASSED,/network-instances/network-instance[name=vrf_test3],2022-05-10 15:38:52
NetworkInstance_TestNetworkInstance/UpdateDescription#04,DELETE,PASSED,/network-instances/network-instance[name=vrf_test2],2022-05-10 15:38:52
NetworkInstance_TestNetworkInstance/UpdateDescription#04,DELETE,PASSED,/network-instances/network-instance[name=vrf_test1],2022-05-10 15:38:52
NetworkInstance_TestNetworkInstance,UPDATE,PASSED,/network-instances/network-instance[name=vrf_test2],2022-05-10 15:38:52
NetworkInstance_TestNetworkInstance/UpdateDescription#05,DELETE,PASSED,/network-instances/network-instance[name=vrf_test4],2022-05-10 15:38:52
NetworkInstance_TestNetworkInstance/UpdateDescription#05,DELETE,PASSED,/network-instances/network-instance[name=vrf_test3],2022-05-10 15:38:52
NetworkInstance_TestNetworkInstance/UpdateDescription#05,DELETE,PASSED,/network-instances/network-instance[name=vrf_test2],2022-05-10 15:38:52
NetworkInstance_TestNetworkInstance/UpdateDescription#05,DELETE,PASSED,/network-instances/network-instance[name=vrf_test1],2022-05-10 15:38:52
NetworkInstance_TestNetworkInstance,UPDATE,PASSED,/network-instances/network-instance[name=vrf_test1],2022-05-10 15:38:52
